E1,Relation,E2
heterogeneity,in the,causes of cognitive decline in aging
CD45,on,CD33-HLA DR+
Retinal Oligo-tau,associated with,CDR cognitive scores
confirmatory trials,use,CDR-SB
presenilin 1,associated with,CDR-SB
multiple sclerosis,associated with,CeD
potential mechanism,through which,CeD increases the risk of MS
Neurofibrillary tangles (NFTs),cause,cell death
neurofibrillary tangles (NFTs),cause,cell death
Proteinopathy/tauopathy,may cause,cell death
hyperphosphorylated microtubule-binding protein tau,causes,cellular dysfunction or death
behavioral and psychological symptoms of dementia severity in AD,are associated with,central inflammatory markers
peripheral interleukin-6,is associated with,central inflammatory markers
Resveratrol,has impact on,central insulin resistance
Resveratrol,impact on,central insulin resistance
Alzheimer's disease,influenced,ceramide levels
amyloid,was associated with,cerebellar atrophy
HD,was associated with,cerebellum grey matter volume
hearing difficulty,was associated with,cerebellum grey matter volume
burden of neurofibrillary tangles,is caused by,cerebral amyloid angiopathy
neurofibrillary tangles,is caused by,cerebral amyloid angiopathy
neuropathologies,include,cerebral amyloid angiopathy
Alzheimer disease plasma biomarkers,are associated with,cerebral amyloid angiopathy imaging markers
cognitive declines,are related to,cerebral amyloid angiopathy imaging markers
tau downregulation,impact on,Cerebral amyloid angiopathy pathogenesis
cerebral amyloid angiopathy tau pathology,was significantly associated with,cerebral amyloid angiopathy-related vascular markers
these symptoms,are associated with,cerebral amyloid-β (Aβ) and tau pathologies
Plasma p-tau(181) concentrations,are a robust indicator of,cerebral amyloidosis
low Aβ42 levels,caused by,cerebral Aβ deposition
brain volume,was associated with,cerebral blood flow
phosphorylated tau (ptau181),was used to determine,cerebral burden of abnormal tau
total tau,was used to determine,cerebral burden of abnormal tau
metabolic syndrome,may influence,cerebral cortex
amyloid-related imaging abnormalities,can lead to,cerebral edema
amyloid-related imaging abnormalities,are concerning due to,cerebral edema and hemorrhage
amyloid-related imaging abnormalities,are a concern due to,cerebral edema and hemorrhage
CSF Aβ42,positively influenced,cerebral glucose metabolism
CSF Aβ42,influence on,cerebral glucose metabolism
amyloid-related imaging abnormalities-H,can cause,cerebral hemorrhage
genetic liability for Alzheimer's disease,had causal effect on,cerebral microbleeds
cognitive decline and AD phenotypes,of,cerebral organoids
blood biomarker concentrations,are influenced by,cerebral pathologies
plasma tau phosphorylated at threonine 231,is associated with,Cerebral Performance Category
plasma tau phosphorylated at threonine 231,is associated with,cerebral performance category
Alzheimer's disease,has causal associations with,cerebral small vessel disease
Alzheimer's disease,is associated with,cerebral small vessel disease
Alzheimer's disease,have bidirectional causal relationship with,cerebral small vessel disease
Alzheimer's disease pathology,aggravate the same symptoms synergistically with,cerebral small vessel disease
Alzheimer's disease pathology,and,cerebral small vessel disease
reduced PP2A B,resulted in,cerebral Tau hyperphosphorylated at multiple AD-associated sites
reduced PP2A C,resulted in,cerebral Tau hyperphosphorylated at multiple AD-associated sites
abnormal protein aggregation,in,cerebral tissues
propagation of cis P-tau-mediated abnormal protein aggregation,to,cerebral tissues
it,influences,cerebral vascular health
path-physiological modifications,in,cerebral vasculature
Aβ deposition,accelerates,cerebral white matter hyperintensities
biomarker profile,is in,cerebrospinal fluid
"its biomarkers, A$eta $42 and pTau",in,cerebrospinal fluid
Alzheimer's disease-related biomarkers,in,cerebrospinal fluid (CSF)
phosphorylated tau (ptau181),was measured in,cerebrospinal fluid (CSF)
total tau,was measured in,cerebrospinal fluid (CSF)
Alzheimer's disease pathology,is associated with,cerebrospinal fluid (CSF) biomarkers
Alzheimer's disease pathology,are associated with,cerebrospinal fluid (CSF) biomarkers
neuroinflammation,is associated with,cerebrospinal fluid (CSF) biomarkers
the clinical setting,does not use,cerebrospinal fluid (CSF) biomarkers
clinical setting,does not use,cerebrospinal fluid (CSF) biomarkers and positron emission tomography (PET) imaging
restricted accessibility,because of,cerebrospinal fluid (CSF) biomarkers and positron emission tomography (PET) imaging
invasiveness,because of,cerebrospinal fluid (CSF) biomarkers and positron emission tomography (PET) imaging are not used in clinical setting
APOE ε4 allele,potentially influences,Cerebrospinal fluid (CSF) levels
pathological hallmarks of Alzheimer's disease progression,are associated with,cerebrospinal fluid (CSF) lipidome
cerebrospinal fluid neuronal (nNOS),was negatively associated with,cerebrospinal fluid age
SNAP25,measured in,Cerebrospinal fluid and plasma
cognitive impairment,associated with,cerebrospinal fluid biomarker profile
cognitive impairment,are associated with,cerebrospinal fluid biomarker profile
neuropsychiatric symptoms,associated with,cerebrospinal fluid biomarker profile
neuropsychiatric symptoms,are associated with,cerebrospinal fluid biomarker profile
levels of 49 proteins,in,cerebrospinal fluid from the Swedish GEDOC memory clinic cohort at the Karolinska University Hospital
metabolites,are associated with,Cerebrospinal fluid levels of ATN biomarkers
Established lipids,were associated with,cerebrospinal fluid metabolites
established lipids,were associated with,cerebrospinal fluid metabolites
genetic variants,associated with,cerebrospinal fluid metabolites
lipids,were associated with,cerebrospinal fluid metabolites
disease progression rate,was associated with,cerebrospinal fluid NfH levels
disease progression rate,was associated with,cerebrospinal fluid NfL levels
amyotrophic lateral sclerosis,measured in,cerebrospinal fluid or blood
NfL,measured in,cerebrospinal fluid or blood
cerebrospinal fluid neuronal (nNOS),was negatively associated with,cerebrospinal fluid p-tau
phosphorylated tau,was associated with,cerebrospinal fluid p-tau
cerebrospinal fluid amyotrophic lateral sclerosis,is associated with,cerebrospinal fluid survival
body mass index,influences,cerebrospinal fluid tau pathology
obscuring significant age-related increases,in,cerebrospinal fluid total-tau
mediation,was mediated by,cerebrospinal fluid VILIP-1
Aβ burden,was associated with,cerebrovascular burden
tau burden,was more strongly associated with,cerebrovascular burden
APOE ε4 allele,associated with,cerebrovascular disease
growing evidence,suggests that,cerebrovascular disease causes cerebral white matter degeneration
amyloid positivity,was associated with,CES-D increase
elucidating the causal relationship between specific dietary factors and Alzheimer's disease risk,is still a,challenge
elucidating the causal relationship between specific dietary factors and Alzheimer's disease risk,continues to be a,challenge
ensuring the accuracy of variable selection and causal effect estimation,might be,challenging
establishing causal relationships in epidemiological data,may be,challenging
overlapping symptoms,is the reason for,challenging clinical characterization of bvFTD and AD
heterogeneity,is not due to,chance
biomarkers,predicted,change in ADAS-Cog11
changes in cognition,are influenced by,change in Aβ
baseline tau,were associated with,change in cognition
BBMs,associated with,change in cognition
BBMs,were associated with,change in cognition
longitudinal SV2A change,were associated with,change in cognition
biomarkers,predicted,change in volumetric MRI
these biomarkers,best predicted,change on the ADAS-Cog11
they,predicted,change on the CDR-SB
big tau,is decoupled from,changes associated with brain-derived small tau in AD
Baseline Aβ(42/40) levels,were not associated with,changes in 3T MRI volume
NfL levels,were not associated with,changes in 3T MRI volume
plasma NfL,association between,changes in ADAS-Cog scores
PSP-specific changes,are associated with,changes in Alzheimer's Disease core biomarkers
peak width of skeletonized mean diffusivity,did not predict,changes in amyloid-beta or tau levels
baseline p-tau217,were associated with,changes in Aβ-PET
GFAP,was associated with,changes in Aβ-PET
GFAP,were associated with,changes in Aβ-PET
brain change patterns,are associated with,changes in brain morphology
link subgroups,are associated with,changes in brain morphology
Alzheimer's disease,is caused by,changes in brain structure
frequency and severity of neuropsychiatric symptoms,are inversely and independently associated with,changes in cerebrospinal fluid (CSF) amyloid-β42 (Aβ42) levels
severity of neuropsychiatric symptoms,is inversely and independently associated with,changes in cerebrospinal fluid (CSF) amyloid-β42 (Aβ42) levels
change in Aβ,influences,changes in cognition
changes in brain morphology,are associated with,changes in cognition
link subgroups,are associated with,changes in cognition
Aβ and tau pathology,together contribute to,changes in cognitive function
Aβ pathology,contributes to,changes in cognitive function
Aβ pathology,contribute to,changes in cognitive function
Tau pathology,contributes to,changes in cognitive function
tau pathology,contribute to,changes in cognitive function
Tau pathology,contribute to,changes in cognitive function
BDNF Val66Met,is associated with,changes in CSF t-tau and p-tau181
baseline p-tau217,remained associated with,changes in DS-MSE
pathologic Tau,directly causes,changes in glucose metabolism
Pathologic Tau,causes,changes in glucose metabolism
AD pathogenesis,are associated with,changes in myelin basic protein (MBP) levels in the cerebrospinal fluid (CSF)
brain ageing,are associated with,changes in myelin basic protein (MBP) levels in the cerebrospinal fluid (CSF)
higher levels of Aβ42,were associated with,changes in subcortical volume
higher levels of p-tau,were associated with,changes in subcortical volume
it,predicted,changes in volumes of hippocampus
cognitive decline,may be associated with,changes within the Alzheimer's disease spectrum
characterization of the modulators of Aβ-related p-tau increases,is critical,characterization of the modulators of Aβ-related p-tau increases
lysosomal stress signs,such as,CHMP2B recruitment
biomarkers,include,cholesterol
coronary heart disease,include,cholesterol
altered pathways,are associated with,cholesterol homeostasis
Hepatocyte Nuclear Factor 1A locus,is associated with,cholesterol levels
altered pathways,are associated with,cholesterol myelination
altered pathways,are associated with,cholesterol transport
long-term line 1 (L1) tau transgenic mice,assessed whether can reverse,cholinergic deficits in L1
Alzheimer's disease,is associated with,chronic conditions
higher CSF NfL,is associated with,chronic epilepsy
disorder,is caused by,chronic inflammation-driven mechanism
elevated hs-CRP,was present when,chronic pain
elevated hs-CRP,was associated with,chronic pain
tauopathies,includes,chronic traumatic encephalopathy
vascular dementia,not significantly associated with,CI of 0.82-2.13
biological processes,reflecting,circulating biomarkers
diseases,are associated with,circulating biomarkers
neuroinflammation,measured by,circulating GFAP
causal proteins,identified through,cis-protein quantitative trait loci (pQTLs)
causal proteins,through,cis-protein quantitative trait loci (pQTLs)
PP,was positively associated with,CL
SBP,at baseline,CL
SBP,was positively associated with,CL
patient,was contributed to by,classification
diminished ability of microglia,leads to,clear amyloid-beta peptides
liver function,may impact,clearance of amyloid-β (Aβ) in the brain
proteins,include,CLEC4A
proteins,include,CLEC4M
imaging markers,are associated with,clinical Alzheimer's disease CSF biomarkers
PC 1,was associated with,clinical Alzheimer's disease CSF biomarkers
PC 1,was associated with,"clinical Alzheimer's disease CSF biomarkers beta-amyloid 42, phosphorylated tau 181, and total tau"
PC 1,not explained by,"clinical Alzheimer's disease CSF biomarkers beta-amyloid 42, phosphorylated tau 181, and total tau"
brain imaging biomarkers of flortaucipir-positron emission tomography (PET),combined with,clinical and genomic measures
Alzheimer's disease in people with Down syndrome,is valuable in,clinical and research contexts
integrating plasma pTau species,can enhance,clinical and research utility
integrating plasma pTau species with other factors,can thus enhance,clinical and research utility
parameters,support,clinical decision making
APOE4 testing,contributes to,clinical decision support
individuals with atypical forms of AD,is being predicted,clinical decline
neocortical tau,is associated with,clinical decline
Neocortical tau,strongly predicts,clinical decline
neocortical tau,strongly predicted,clinical decline
treatments targeting various species of amyloid beta protein,affects,clinical decline
imaging markers,not associated with,clinical diagnosis
imaging markers,associated with,clinical diagnosis
PC 1,was not associated with,clinical diagnosis
symptom severity,was used as,clinical endpoint
Pathophysiological processes of tangle maturation,may influence,clinical features of dementia in mixed Lewy-Alzheimer's pathology
different effects of presenilin 1 variants,causes,clinical heterogeneity in people with autosomal dominant Alzheimer's disease
different effects of presenilin 1 variants on γ-secretase and amyloid β production,cause,clinical heterogeneity in people with autosomal dominant Alzheimer's disease
Alzheimer's disease neuropathologic change and alpha-synucleinopathy,contribute to,clinical heterogeneity of dementia
introduction of disease-modifying therapies,with the,clinical implementation
predictive accuracy of blood-based biomarkers,strongly supports,clinical implementation
predictive accuracy of blood-based biomarkers for Amyloid beta,supports,clinical implementation
predictive accuracy of blood-based biomarkers for Amyloid beta,strongly supports,clinical implementation
predictive accuracy of blood-based biomarkers for Amyloid beta,strongly supports,clinical implementation with disease-modifying therapies
understanding of variability and biological influences,is required for,clinical interpretation
variability and biological influences,understanding of,clinical interpretation
molecular level,is below,clinical level
Apolipoprotein E (APOE) genotypes,have been suggested to influence,clinical onset in autosomal dominant Alzheimer's disease (ADAD)
AD,was associated with,clinical outcomes
baseline ATN(PD) status,was tested to see how it predicted,clinical outcomes
biomarkers,do not strongly predict,clinical outcomes
biomarkers,strongly predict,clinical outcomes
conventional machine learning models,can be used to predict,clinical outcomes
machine learning,predict,clinical outcomes
models,were used to predict,clinical outcomes
models,can be used to predict,clinical outcomes
Parkinson disease status,predicted,clinical outcomes
NfL,is used in,clinical practice
use of NfL,is facilitated in,clinical practice
CSF α-syn Seed amplification assay kinetic parameters,were associated with,clinical profiles
amyloid composite biomarker,can predict,clinical progression to AD dementia
higher CSF IL-6 and IL-8/CXCL8 in LGI1-AE,is associated with,clinical relapse
cerebrospinal fluid (CSF) biomarkers,are not used in,clinical setting
positron emission tomography (PET) imaging,are not used in,clinical setting
baseline atrophy stage,predicted,clinical trajectories before manifest cognitive impairment
baseline atrophy subtype,predicted,clinical trajectories before manifest cognitive impairment
amyloid/tau PET scores,were not associated with,clinical trial dropout
cognitive scores,were not associated with,clinical trial dropout
race and ethnicity,were not associated with,clinical trial dropout
sex,were not associated with,clinical trial dropout
diverse populations,enrolled at,clinical trial sites
Omega-3 polyunsaturated fatty acids,show,clinical trials
integration of plasma pTau species with other factors,can thus enhance,clinical utility
integration of plasma pTau species with other factors,can enhance,clinical utility
reduced brain Aβ,within,clinically normal range
models,were used to predict,clinically useful tau-PET composites
NE3107,was associated with,clinician-rated improvements in cerebral blood flow
measure,would help,clinicians predict natural evolution of the disease
neuropsychiatric symptoms associations,may help,clinicians predict the subtype of future dementias
APOE-ε4 allele,has no impact on,clinicians' assessment of the likelihood of ARIA
Aβ + status,beyond,Cluster 1 membership
amyloid pathology,was not associated with,CMBs
APOE ε4 copy number,was not associated with,CMBs
relationship between sleep and Aβ,in,CN older adults
Alzheimer's disease (AD),is closely associated with,CNS tau pathology
insoluble fraction,contains,co-occurring phospho-epitopes
insoluble fraction,is associated with,co-occurring phospho-epitopes
insoluble fraction in aged mice,is associated with,co-occurring phospho-epitopes and tauopathy
tauopathy in the insoluble fraction,is associated with,co-occurring phospho-epitopes in aged mice
tauopathy in aged mice,is associated with,co-occurring phospho-epitopes in the insoluble fraction
plasma tau biomarkers,are influenced by,co-pathologies and comorbidities
Plasma tau biomarkers,are influenced by,co-pathologies and comorbidities
accuracy of biomarker interpretation,is influenced by,co-pathology
rising sea levels,have impacts on,coastal communities
accumulating AD pathology,has an influence on,cognition
accumulating AD pathology,influences,cognition
accumulating AD pathology,influence of,cognition
accumulating AD pathology,negatively affected,cognition
Accumulating AD pathology,negatively influences,cognition
accumulating AD pathology,has negative influence on,cognition
AD patients,are associated with,cognition
APOE ε4 carriership,has effect on,cognition
APOE4,has impacts on,cognition
attention-deficit/hyperactivity disorder,has impact on,cognition
BBMs,were associated with,cognition
Behaviour,are adversely influenced,cognition
biomarkers,were associated with,cognition
biomarkers,associated with,cognition
blood-based biomarkers,are associated with,cognition
cerebral amyloid angiopathy,impact of,cognition
cerebrospinal fluid GAP-43 and plasma NfL,predicted,cognition
circadian rhythms,impact,cognition
depressive symptom trajectories,influenced,cognition
depressive symptom trajectories,had effects on,cognition
disease course,is associated with,cognition
hypometabolism of the middle temporal region,was associated with,cognition
it,adversely influences,cognition
machines,trained to predict,cognition
MCI patients,are associated with,cognition
measure of global tau burden,is associated with,cognition
Metabolic-dysfunction associated steatotic liver disease-related diseases,causal relationships between,cognition
Modified Dementia Risk Scores,had impact on,cognition
neurodegeneration,impact on,cognition
neurofibrillary degeneration,mediated by,cognition
neurofibrillary degeneration,impacts,cognition
pathology,impacted,cognition
patients,associated with,cognition
phosphorylated Tau protein,is closely associated with,cognition
plasma p-tau181,is to assess whether,cognition
regional brain atrophy,is associated with,cognition
regional brain atrophy,has possible impact on,cognition
regional brain atrophy,has an impact on,cognition
support vector machines,trained to predict,cognition
Tau,impact on,cognition
vector machines,trained to predict,cognition
plasma p-tau181,mediate the relationship between,cognition across the AD continuum
glial cells,influenced,cognition and behaviour
neural cells,influenced,cognition and behaviour
BP,influence,cognition and brain structure in older adults
APOE ε4 carriership,has effect on,cognition and dementia
APOE ε4 carriership,effect of,cognition and dementia
smaller decline than the placebo,on measures of,cognition and function
Australian National University Alzheimer Disease Risk Index scores,were associated with,cognition and tau pathology
models,were trained to predict,cognition directly from imaging regions of interest
SVMs,were trained to predict,cognition directly from imaging regions of interest
Aβ-related pathogenesis,is associated with,cognition in AD
level of p-tau181,was more strongly associated with,cognition in people with mild cognitive impairment (MCI) and apolipoprotein E (APOE) ε4
motor dysfunction,may be caused by,cognition-dependent mechanisms
motor dysfunction,may be caused by,cognition-independent mechanisms
daily life elements,influence,cognitive abilities
daily life elements,might also,cognitive abilities
Aβ,associated with,cognitive abnormalities
Equol,can impact,cognitive aging
Behavioral and psychological symptoms,were associated with,cognitive categories
behavioral and psychological symptoms,were associated with,cognitive categories
behavioral and psychological symptoms,associated with,cognitive categories
symptoms,associated with,cognitive category
brain structural changes over time,predict,cognitive change in older age
Alzheimer disease biomarkers,is associated with,cognitive changes
Alzheimer's Disease Neuroimaging Initiative cohort,in,cognitive changes
Amyloid-β uptake,is associated with,cognitive changes
Aβ level,was independently associated with,cognitive changes
cerebrospinal fluid neurofilament light levels,predict,cognitive changes
imaging markers,is associated with,cognitive changes
interactions,influence,cognitive changes
it,contributes to,cognitive changes
their association,with,cognitive changes
this contribution,is to,cognitive changes
unimodal Aβ-to-Aβ progressions,were not associated with,cognitive changes
V337M mutation in MAPT tau,could contribute to,cognitive changes
Aβ level,was associated with,cognitive changes at baseline
V337M mutation,could contribute to,cognitive changes in preclinical microtubule-associated protein tau gene variant carriers
V337M mutation,contribute to,cognitive changes in preclinical microtubule-associated protein tau gene variant carriers
V337M mutation in MAPT tau,could contribute to,cognitive changes in preclinical microtubule-associated protein tau gene variant carriers
they,associated with,cognitive changes in the Alzheimer's Disease Neuroimaging Initiative (ADNI) cohort
neuropsychiatric symptoms,may contribute to,cognitive complaints
baseline BBM levels,increasing,cognitive composite z score
increasing baseline BBM levels,were not associated with,cognitive composite z score
regional tau,is associated with,cognitive concerns
ability of the participants,examined,cognitive decline
ability of the rate of change in the PiB-PET measures,to predict,cognitive decline
ability to distinguish cognitive status of the participants,to predict,cognitive decline
accumulated tau,associated with,cognitive decline
accumulation of core Alzheimer's disease (AD) pathology,contributes to,cognitive decline
ADNI,associated with,cognitive decline
aging,contributes to,cognitive decline
Alzheimer disease,is associated with,cognitive decline
Alzheimer disease (AD),is associated with,cognitive decline
Alzheimer's disease,is associated with,cognitive decline
Alzheimer's disease,causes,cognitive decline
Alzheimer's disease (AD),is characterized by,cognitive decline
Alzheimer's disease pathology,does not necessarily lead to,cognitive decline
amyloid accumulation,has causal relationship with,cognitive decline
amyloid beta (Aβ) load,is associated with,cognitive decline
amyloid burden,impacts,cognitive decline
anesthesia,contribute to,cognitive decline
anesthesia,may contribute to,cognitive decline
Aβ + status,predicted,cognitive decline
Aβ pathology,may contribute to,cognitive decline
Aβ plaques,are less closely associated with,cognitive decline
"Aβ, tau, and neuroinflammation",are associated with,cognitive decline
APOE ɛ4 status,was associated with,cognitive decline
APOE ε4 allele,influences,cognitive decline
APOE ε4 allele,influence,cognitive decline
APOE ε4 allele,is associated with,cognitive decline
APOE ε4 allele carriers,do not cause,cognitive decline
astrocyte activation PRS,assessed predictive value for,cognitive decline
baseline plasma NfL,predicted,cognitive decline
baseline rate of change in (11)C-Pittsburgh compound B (PiB) Aβ-PET,predicts,cognitive decline
biomarker accumulation,is associated with,cognitive decline
biomarker accumulation,is related to,cognitive decline
biomarker accumulation,was related to,cognitive decline
biomarker accumulation,associated with,cognitive decline
biomarkers,can be used to predict,cognitive decline
biomarkers,associated with,cognitive decline
Blood-based neurodegenerative biomarkers,are associated with,cognitive decline
brain biomarkers of AD,predict,cognitive decline
brain injury,can be caused by,cognitive decline
brain injury,can lead to,cognitive decline
brain injury,is a cause of,cognitive decline
brain injury,is a common cause of,cognitive decline
chronic stress,is associated with,cognitive decline
Cluster 1 membership,predicted,cognitive decline
cognitive decline,is a common cause of,cognitive decline
cognitive status,were examined,cognitive decline
core Alzheimer's disease pathology,impact on,cognitive decline
core Alzheimer's disease pathology,has impact on,cognitive decline
CRF,impact on,cognitive decline
CRF,impact of,cognitive decline
CRF,has impact on,cognitive decline
CRF,may influence,cognitive decline
CRF-related differences,may influence,cognitive decline
cross-sectional biomarkers,can predict,cognitive decline
CSF α-syn Seed amplification assay kinetic parameters,were associated with,cognitive decline
degree of Tau pathology,is associated with,cognitive decline
dietary carotenoids,impact of,cognitive decline
disease,causes,cognitive decline
disruption,contributes to,cognitive decline
disruption,causes,cognitive decline
disruption,results in,cognitive decline
early tau deposition,is associated with,cognitive decline
eCRF,is associated with,cognitive decline
eCRF,associated with,cognitive decline
elevated baseline cerebrospinal fluid YKL-40 levels,were associated with,cognitive decline
four significantly predictive plasma markers,for,cognitive decline
FTP-PET,association between,cognitive decline
FTP-PET,associated with,cognitive decline
Functional impairment,is associated with,cognitive decline
genetic factors,influence,cognitive decline
GFAP,could predict,cognitive decline
GFAP,predict,cognitive decline
"GFAP, NEFL, AREG, and PPY",were significantly predictive plasma markers for,cognitive decline
identification and validation of biomarkers,associated with,cognitive decline
impact of CRF and core Alzheimer's disease pathology,is not well understood,cognitive decline
increasing plasma Aβ42/40 levels over time,were not associated with,cognitive decline
increasing pTau-181 levels over time,were not associated with,cognitive decline
lack of vitamin D,is associated with,cognitive decline
longitudinal Aβ,is linked to,cognitive decline
longitudinal rate of change in (11)C-Pittsburgh compound B (PiB) Aβ-PET,predicts,cognitive decline
medial temporal lobe tau-PET signal,are associated with,cognitive decline
metabolic stress,leads to,cognitive decline
neocortex,is associated with,cognitive decline
neuroaxonal aging,are associated with,cognitive decline
NFTs,are more closely associated with,cognitive decline
non-APOE polygenic risk score,influence,cognitive decline
NPS combined with plasma biomarkers,can predict,cognitive decline
NPTX2,is significantly associated with,cognitive decline
optimal threshold of tau accumulation,predictive of,cognitive decline
participants ability,to predict,cognitive decline
person who is amyloid positive,can predict,cognitive decline
PiB-PET measures,to predict,cognitive decline
PiB-PET measures,used to predict,cognitive decline
PiB-PET scan,can predict,cognitive decline
plasma amyloid beta,predicted,cognitive decline
plasma Amyloid β-peptides levels,predict,cognitive decline
plasma Amyloid β-peptides levels,used to predict,cognitive decline
plasma biomarkers,can predict,cognitive decline
Plasma NfL,predict,cognitive decline
plasma p-tau217,are associated with,cognitive decline
plasma phosphorylated tau181,could predict,cognitive decline
presence of amyloid beta,was associated with,cognitive decline
presence of tau,associated with,cognitive decline
propagation of tau deposition,is associated with,cognitive decline
proteins,had impact on,cognitive decline
rate of change in the PiB-PET measures,predict,cognitive decline
reduced neurotrophic support,is associated with,cognitive decline
region,is associated with,cognitive decline
several diseases,contribute to,cognitive decline
single PiB-PET scan,is sufficient to predict,cognitive decline
single PiB-PET scan,can predict,cognitive decline
single PiB-PET scan,can make the prediction of,cognitive decline
Sleep disorders disorder,was associated with,cognitive decline
statin initiation,is associated with,cognitive decline
surgery,contribute to,cognitive decline
surgery,may contribute to,cognitive decline
Tau burden,could predict,cognitive decline
Tau deposition,is associated with,cognitive decline
Tau pathology,is associated with,cognitive decline
Tau pathology,impacts,cognitive decline
Tau pathology,has been significantly associated with,cognitive decline
Tau pathology in higher motor regions,has been significantly associated with,cognitive decline
tau positron emission tomography (PET) scan,predicted,cognitive decline
Tau proteinopathy,is associated with,cognitive decline
tau secretion,linked to,cognitive decline
Tau-SUVR,predicted,cognitive decline
those with no apparent cause,differ in,cognitive decline
those with somatic comorbidities and Psy,differ in,cognitive decline
vascular aging,are associated with,cognitive decline
volume loss in the basal forebrain (BF),is associated with,cognitive decline
VRFs,have no impact on,cognitive decline
VRFs in AD,do not seem to impact,cognitive decline
VRFs in AD,do not seem to have any impact on,cognitive decline
VRFs in AD,do not impact,cognitive decline
VRFs in AD,do not have any direct impact on,cognitive decline
VRFs in AD,have no impact on,cognitive decline
Vulnerability to Aβ-related tau hyperphosphorylation,is associated with,cognitive decline
higher p181 levels,predicted,cognitive decline (PACC5)
long-term use of cocaine,is also associated with,cognitive decline affecting functions such as memory and executive processes
long-term use of opioids,is associated with,cognitive decline affecting functions such as memory and executive processes
older age at amyloid or tau PET positivity,was associated with,cognitive decline after symptom onset
amyloid beta ε4-modified amyloid beta,leads to,cognitive decline Alzheimer's disease AD
amyloid beta ε4-modified amyloid beta burden,leads to,cognitive decline Alzheimer's disease AD
periventricular Alzheimer's disease signals,are associated with,cognitive decline Alzheimer's disease AD
OptPRS,predicted,cognitive decline and AD phenotypes
OptPRS,predicted,cognitive decline and AD phenotypes of cerebral organoids
Tau,for the prevention or treatment of,cognitive decline associated with substance use
single PiB-PET scan,is sufficient to predict,cognitive decline in a person who is amyloid positive
AD,predict,cognitive decline in aging
AD,are associated with,cognitive decline in aging
brain biomarkers of AD,are risk factors for,cognitive decline in aging
combination of NPS and brain biomarkers of AD,is linked to,cognitive decline in aging
NPS,are risk factors for,cognitive decline in aging
NPS,predict,cognitive decline in aging
NPS,associated with,cognitive decline in aging
NPS and brain biomarkers of AD,predict,cognitive decline in aging
decrease in myelin,associated with,cognitive decline in Alzheimer's disease
neurofibrillary tangles,are associated with,cognitive decline in Alzheimer's Disease
pulse wave velocity,was not associated with,cognitive decline in any domain
known risk factors late-onset Alzheimer's disease,were associated with,cognitive decline in both early-onset Alzheimer's disease and late-onset Alzheimer's disease cohorts
short-term Aβ changes,are associated with,cognitive decline in clinically normal older adults
early tau deposition in areas related to Alzheimer's disease,is associated with,cognitive decline in cognitively unimpaired individuals
Tau and neurodegeneration,predicting,cognitive decline in memory clinics
APOE ε4 status,can help predict,cognitive decline in non-demented adults
neuropsychological scores,can help predict,cognitive decline in non-demented adults
plasma protein biomarkers,could predict,cognitive decline in non-demented individuals
plasma protein biomarkers,predict,cognitive decline in non-demented individuals
its exact influence,on,cognitive decline in non-demented older adults
anesthesia,may contribute to,cognitive decline in older adults
surgery,may contribute to,cognitive decline in older adults
test,predicted,cognitive decline in Parkinson's disease patients
LATE-NC,may have stronger impact on,cognitive decline in PART
formation of Neurofibrillary tangles,associated with,cognitive decline in patients
spread of Neurofibrillary tangles across the brain,associated with,cognitive decline in patients
accumulation of tau protein,is associated with,cognitive decline in patients with Alzheimer's disease
anesthesia and/or surgery,may contribute to,cognitive decline or acceleration of Alzheimer's disease-related pathology
Aβ,associated with,cognitive decline over time
tau,associated with,cognitive decline over time
degree of Tau pathology,is associated with,cognitive deficits
impaired insulin signaling,is thought to contribute to,cognitive deficits
impaired insulin signaling,contribute to,cognitive deficits
impaired insulin signaling,is thought to be a cause of,cognitive deficits
increased blood levels of homocysteine,are associated with,cognitive deficits
Tau pathology,is associated with,cognitive deficits
apolipoprotein E haplotype,associated with,cognitive deficits in amyotrophic lateral sclerosis
cerebrospinal fluid Aβ biomarkers,associated with,cognitive deficits in amyotrophic lateral sclerosis
impaired insulin signaling,is thought to be a cause of,cognitive deficits in the brain
dynamic changes in plasma NfL levels,are associated with,cognitive deterioration
interaction,could potentially impact,cognitive deterioration
interplay,potentially impacts,cognitive deterioration
SSD,is associated with,cognitive deterioration
Apolipoprotein allele 4 (APOE ε4) ε4,was associated with,"cognitive domains of episodic memory, executive functioning, processing speed, and language"
neurodegeneration,is closely associated with,cognitive dysfunction
tangles,are associated with,cognitive dysfunction
Aβ,related to,cognitive dysfunction associated with early AD
CN older adults,may be related to,cognitive dysfunction associated with early AD
early Aβ accumulation,may be caused by,cognitive dysfunction associated with early AD
sleep,related to,cognitive dysfunction associated with early AD
cerebral amyloid angiopathy,is a major cause of,cognitive dysfunction in the elderly
Apolipoprotein E ε4,have significant impact on,cognitive function
demographic factors,influence,cognitive function
its impact,on,cognitive function
levels,correlation between,cognitive function
range of biomarkers,influence,cognitive function
reading activity,improves,cognitive function
reading activity,to improve,cognitive function
sleep disorders,have significant impact on,cognitive function
vascular risk factors,influence,cognitive function
VRFs in AD,have no direct impact on,cognitive function
VRFs in AD,have no impact on,cognitive function
Amyloid-β 42/40,associated with,cognitive functioning
GFAP,associated with,cognitive functioning
neurodegenerative biomarkers,were associated with,cognitive functioning
