E1,Relation,E2
DKD,is caused by,insulin resistance
DM,is not associated with,amyloid-β
DM,is associated with,biomarkers of tau
DM,contributes to,high risk of different malignancies
DM,is associated with,metabolic dysfunctions
DM,associated with,tau biomarkers
DM,causal association between,TB
DM,increases the risk of developing,TB
DM,increases the risk of,TB
DM,leads to,worse mortality outcomes
DM and TB susceptibility,may be influenced by,genetic factors
DM status,was associated with,higher tau biomarkers
DM susceptibility,may be the same,TB susceptibility
DNA-personalised dietary advice intervention,via,self-guided app and wearable device
DNA-personalised dietary advice intervention,led to,significant reduction of FPG at 26 weeks
DNA-personalised dietary advice intervention,led to,significant reduction of FPG at 26 weeks in the Intervention arm
dog,chased,cat
dominant models,uses,study
Dorzagliatin,have been proven,safety and efficacy
dose of aspirin,may significantly impact,levels of hs-CRP and IL-6
dose of aspirin,may impact,levels of IL-6
dose of aspirin,may impact significantly,levels of IL-6 over time
doses,were evaluated to determine,impact on overbasalization
downregulation of the TGF-β signaling pathway,caused,"improvements in fibrosis recovery, extracellular matrix remodeling, and muscle regeneration"
downregulation of the TGF-β signaling pathway,was the cause of,"improvements in fibrosis recovery, extracellular matrix remodeling, and muscle regeneration"
downregulation of the TGF-β signaling pathway,was a cause of,"improvements in fibrosis recovery, extracellular matrix remodeling, and muscle regeneration"
downregulation of the TGF-β signaling pathway,via,proteomics data analysis
downregulation of the TGF-β signaling pathway via proteomics data analysis,led to,"improvements in fibrosis recovery, extracellular matrix remodeling, and muscle regeneration"
downstream effector factor (FG Fasting Insulin FI),were associated with,PUs
DP1,was associated with,elevated body mass index
DP1,was associated with,elevated hemoglobin A1c
DP1,was associated with,elevated triglycerides
DPP4 inhibitors,do not reduce,all-cause mortality and MACE
DPP4 inhibitors,compared with,GLP1 agonists
DPP4 inhibitors,compared to,type 2 diabetes mellitus care
DR,due to,cardiovascular events
DR,may have influenced,progression of periodontitis
DR,may have contributed to,severity of periodontal destruction
DR,may have been influenced by,severity of periodontal destruction
DR,was caused by,shared inflammatory and vascular mechanisms
DR,is a risk factor in,T2DM
drop in HbA1c levels,suggested,better long-term blood glucose control
drugs,are the impact of,non-insulin antidiabetic drugs
dual activation of GCGR,contributed to,enhanced cognitive resilience
dual activation of GLP-1,contributed to,enhanced cognitive resilience
dual activation of GLP-1 and GCGR,contributed to,enhanced cognitive resilience
dual smoking,led to,higher likelihood of elevated HbA1c levels
dual smoking,was associated with,higher likelihood of negative health effects
dual smoking,was associated with,higher likelihood of other negative health effects
dual smoking,was associated with,negative health effects
duration of Insulin administration,have been shown to influence,bone-related outcomes
dysbiosis,can contribute to,glucose metabolism dysfunction
dysbiosis,can contribute to,insulin resistance
dysfunction,leads to,elevated blood glucose levels
dysglycemic traits,causal association between,vitiligo
Dyslipidemia,associated with,cardiovascular diseases
dyslipidemia,associated with,cardiovascular diseases
dyslipidemia,as a predictive causal factor for,NTG
Dyslipidemia,was a predictive causal factor for,NTG
dyslipidemia,can lead to,reduced CAD copy number
Dyslipidemia,are commonly associated with,T2DM
dyslipidemia,associated with,type 2 diabetes mellitus
dyslipidemia,was significantly associated with,Type 2 diabetes mellitus duration
dysregulated immune responses,due to,loss of the PGRP-LB gene
dysregulation of glucose metabolism,caused by,high-fat diet (HFD)
dysregulation of insulin,was associated with,Heart failure with preserved ejection fraction
dysregulation of lipid metabolism,is associated with,complications
dysregulation of the bone-brain axis,may be a cause of,cognitive impairment in T2DM
EA,impact on,blood glucose levels
EA,investigate,high-fat diet (HFD) rat model
EA,influence,pancreatic glucolipid reduction level
EA at ST25,was found to modify,local regulatory influence of PAT on the pancreatic intrinsic nervous system
EA at ST25,contributed to,relief of glucolipid metabolic stress
each predictor,provided,more modest predictive value
early detection,of,type 2 diabetes mellitus
early detection of type 2 diabetes mellitus,to prevent,complications associated with the disease
early insulin requirement,is to be predicted by,"anti-GAD65, anti-IA2 and anti-Zn8T"
early insulin therapy,can lead to,improved glycemic control
early insulin therapy,leads to,improved glycemic control in people with suboptimally controlled T2DM
early intervention,is needed,risk of developing T2DM and cardiovascular complications
early screening,may help to reduce,risk of complications
early screening,may help to reduce,risk of macrovascular complications
early screening,may help to reduce,risk of metabolic diseases
early screening,may help to reduce,risk of microvascular complications
early screening,may help to reduce,risk of T2DM
early-stage diabetic nephropathy,is a risk for,patients with type 2 diabetes mellitus
earthquake,led to,significant worsening of glycemic control
echocardiographic measurements of cardiac structure and function,mediate,association of glucose variability with all-cause and cardiovascular mortality
ED,is linked to,plasma proteins
education level,adjusting for,having a less negative attitude toward insulin treatment
education level,was associated with,OR of 0.72
educational attainment,causal relationship between,common chronic diseases
educational attainment,was associated with,reduced risk of type-2 diabetes
educational interventions,impact of,individuals with insulin-treated type 2 diabetes mellitus
educational interventions,impact of,individuals with type 2 diabetes mellitus T2DM
educational interventions,impact of,investigated
effect,is associated with,alanine aminotranferase risk
effect,associated with,diabetic retinopathy
effect,is not due to,IL-10
effect,is not caused by,IL-10 enhancement
effect,is on,sd LDL
effect,is on,sd LDL within HDL cholesterol and triglycerides pathways
effect,is caused by,something else
effect,is associated with,type 2 diabetes mellitus
effect of exercise interventions,may be influenced by,baseline blood glucose levels
effect of exercise interventions,may be influenced by,exercise intensity
effect of exercise interventions,may be influenced by,patient's age
effect of exercise interventions,may be influenced by,various factors
effect size,indicates,magnitude of the effect
effective and feasible interventions,to reduce,this risk
effective option,for,diabetes management
effective option for diabetes management,may have an impact on,bone health
effectiveness of the drugs post-MI,is due to,their action on the heart
effects,contribute to,Alzheimer's disease pathology
effects,are due to,enhancing cardiac function
effects,were explored according to,MMSE scores
effects,were due to,myoblast cell model
effects,were caused by,regulating the upstream transcription factor FOXO1
effects,were explored in,subgroups based on MMSE scores
effects,were due to,unique myoblast cell model
effects of antiretroviral therapy,are associated with,increased cardiometabolic risk
effects of dapagliflozin,are influenced by,genetic variants
effects of dapagliflozin,is unclear due to,unclear
effects of dapagliflozin on glucose levels,are unclear,due to genetic variants
effects of exercise,are influenced by,intensity of exercise
effects of SDM,remain,poorly understood
effects of the interventions,could be associated with,basal lipidome
effects of Type 2 diabetes mellitus,are associated with,poor lifestyle adopted by patients
effects of Type 2 diabetes mellitus,are precisely associated with,poor lifestyle adopted by patients
efficacy,in alleviating,hyposalivation caused by T2DM
efficacy,demonstrate,transition to IDegAsp in type 2 diabetes mellitus (T2DM)
efficacy in alleviating hyposalivation caused by T2DM,needs to be,confirmed
eGFR,was associated with,neutrophil-to-lymphocyte ratio
eGFR decline,is associated with,advanced age
eGFR decline,is associated with,elevated baseline urinary albumin excretion rate
eGFR decline,is associated with,male sex
eGFR decline,is associated with,prolonged diabetes duration
Egyptian patients,received,diabetes education
eHealth programs,impact of,glycemic control
eight bacterial taxa,were associated with,mild age-related diabetes
eight bacterial taxa,were associated with,mild obesity-related diabetes
electroacupuncture,influences,regulation of brain-gut peptides
elevated adiposity,is associated with,elevated risk of adverse changes in biomarkers of aging
elevated adiposity,is associated with,elevated risk of adverse changes in body composition
elevated adiposity,is associated with,elevated risk of adverse changes in physical function
elevated AHI,increased the risk of,arteriosclerosis
elevated blood glucose,did not increase the risk of,AA
elevated blood glucose,did not increase the risk of,T2DM
elevated blood glucose levels,are caused by,dysfunction of the pancreatic beta cells
elevated blood lipid levels,are associated with,type 2 diabetes mellitus
elevated blood lipid levels,is associated with,type 2 diabetes mellitus
elevated blood osteoprotegerin levels,were associated with,increased risk of ABM
elevated blood osteoprotegerin levels in postmenopausal women,were associated with,increased risk of ABM
elevated CMI,is independently associated with,higher risk of CAS in T2DM patients
elevated CTI,is independently associated with,higher all-cause mortality risks
elevated CTI,is independently associated with,higher cardiovascular mortality risks
elevated CTI,is associated with,patients Coronary heart disease CHD type 2 diabetes mellitus T2DM
elevated fasting insulin levels,increase,risk of esophageal cancer
elevated FI,was causally associated with,increased risk of hypothyroidism
elevated FI,was causally associated with,increased risk of obesity
elevated FI,was causally associated with,increased risk of T2DM
elevated glucose,causal relation between,Inflammatory bowel disease
elevated glycated hemoglobin (HbA1c) levels,are associated with,cognitive impairments
elevated glycated hemoglobin (HbA1c) levels,may exacerbate,glycated hemoglobin (HbA1c) detrimental effects
elevated glycated hemoglobin (HbA1c) levels,are associated with,increased risks of cognitive impairments
elevated glycated hemoglobin (HbA1c) levels,are associated with,increased risks of cognitive impairments in patients with T2DM
elevated glycated hemoglobin (HbA1c) levels,are associated with,increased risks of olfactory impairments
elevated glycated hemoglobin (HbA1c) levels,are associated with,increased risks of olfactory impairments in patients with T2DM
elevated glycated hemoglobin (HbA1c) levels,are associated with,olfactory impairments
elevated HbA1C,associated with,dyslipidemia
elevated HbA1c,was associated with,poorer cognitive performance
elevated levels of Nrg4,are associated with,onset of metabolic diseases
elevated β-OHB levels,were associated with,improved renal survival
elevated β-OHB levels,were associated with,lower risk of end-stage renal disease
elevated β-OHB levels,are associated with,reduced risk of end-stage renal disease ESRD
elevated oxidative stress,is largely caused by,oxidative stress
elevated oxidative stress,is largely caused by,vascular inflammation
elevated oxidative stress levels,cause,impaired insulin signaling
elevated oxidative stress levels,impair,insulin signaling
elevated oxidative stress levels,affect,insulin signaling
elevated PDK4 expression,was associated with,depressed glycolysis
elevated plasma glucagon (P-GCG),is a topic of,debate
elevated plasma glucagon (P-GCG),contributes to,excessive postabsorptive glucose production
elevated plasma glucagon (P-GCG),contributes to,hyperglycemia
elevated plasma glucagon (P-GCG),contributes to,hyperglycemia in patients with type 2 diabetes (T2DM)
elevated risk of CAD in patients with T2DM,is potentially due to,systemic inflammation
elevated serum ferritin levels,can be used as,biomarker to predict uncontrolled T2DM patients
elevated serum ferritin levels,can be used to predict,uncontrolled T2DM patients
elevated serum moesin levels,are associated with,mild cognitive impairment in patients with T2DM
elevated SREBP-2 expressions,result in,lowering TG and TC concentrations
elevated TG levels,contribute to,subsequent sd LDL increases
elevated TG levels,lead to,subsequent sd LDL increases
elevation of blood glucose levels,due to,inflammation
elevation of blood glucose levels,due to,underlying insulin resistance
elevation of SCFAs,leads to,decrease in the levels of IL-17A
elevation of SCFAs,leads to,decrease in the levels of NF-κB
elevation of SCFAs,leads to,decrease in the levels of TNF-α
elevation of the microbial communities,promoted,production of numerous epigallocatechin gallate metabolites
eligible genetic instruments,closely associated with,each of the factors
eligible genetic instruments,associated with,each of the traits
eligible instrumental SNPs,associated with,circulating SHBG level
eligible instrumental SNPs,strongly associated with,circulating SHBG level
Embryo culture,caused,glucose intolerance in First-generation male offspring
Embryo culture,with,HG
Embryo culture with HG,caused,glucose intolerance in First-generation offspring
emergence of mild cognitive impairment,may be influenced by,ADAM17
emergence of mild cognitive impairment,is influenced by,ADAM17 and associated pathways
emergence of mild cognitive impairment,may be influenced by,associated pathways
emerging evidence,suggests,GLP1R agonists can cause tubulo-interstitial nephritis
EMPA-REG OUTCOME trial,was associated with,slower kidney disease progression
empagliflozin,was associated with,slower kidney disease progression
empirical evidence,supporting,positive causal association
empirical evidence,supporting,"positive causal association between Television (TV) viewing and sciatica, IVDD and LBP"
empowerment,leads to,increased self-efficacy
endothelial dysfunction,leads to,leukocyte infiltration
endothelial insulin resistance,is a contributing factor to,Alzheimer's disease pathology
endothelial insulin resistance,could lead to,blood-brain barrier dysfunction
endotoxin levels,were associated with,TyG index
energy metabolism disruption,is closely associated with,glial dysfunction
energy metabolism disruption,is closely associated with,hippocampal neuroinflammation
energy metabolism disruption,is closely associated with,tau hyperphosphorylation
engaging in dual smoking,was associated with,negative health effects
engaging in dual smoking,associated with,negative health effects
engaging in dual smoking,was associated with,other negative health effects
engaging in six weeks of aerobic exercise,may have positive impact on,trained mice
enhanced modulation of GLP-1 secretion,was potentially attributed to,enhanced modulation of gut microbiota
enhancement of endothelial dysfunction,are caused by,NF-κB
enhancement of endothelial dysfunction,leads to the aggravation of,peripheral diabetic neuropathy
enhancing the well-being of those enduring long COVID-19,is crucial for,this
ENMD,significantly increased the risk of,PTB
entire hemodynamic response curve,can be modeled using,function-on-scalar regression
environmental factors,is the cause of,aetiology of T2DM
environmental factors,are the cause of,aetiology of T2DM
environmental factors,contribute to,development of Parkinson's disease
epidemiological data,is not sufficient to fully understand,mechanisms relating hyperglycemia to cardiovascular complications
epidemiological studies,confirm,impact of insulin resistance on amyloid-β plaques accumulation
epigallocatechin gallate metabolites,may contribute to,preventing and alleviating T2DM
Epilepsy,is associated with,Blood glucose
Epilepsy,is associated with,Diabetes mellitus
epilepsy,may be caused by,inflammation
episodes of hypoglycemia,were associated with,values inferior to 0.3 g
escitalopram,have an impact on,glucose metabolism
escitalopram,have an impact on,lipid metabolism
established diabetes markers,causal relationship between,we evaluated
establishing causal links,is essential to,avoid misdiagnosis in Parkinson's disease clinical practice
estimate of the impact of walking pace,on,leukocyte telomere length
estimate of the impact of walking pace on leukocyte telomere length,underwent,transformation
evaluating NLR,predicts,inflammation
evaluating NLR,probably,predicts the inflammation
evaluation,involved,western blot analysis
events,resulted in,hospitalization
events,were not associated with,type 2 diabetes
events,were associated with,type 2 diabetes T2DM
evidence,did not support,causal association
evidence,did not support,causal association of AVS on kidney function
evidence,does not establish,direct causal link
evidence,evaluate and synthesize,educational interventions for individuals with insulin-treated type 2 diabetes mellitus
evidence,that,hyperphosphorylated tau protein aggregates in the brain
evidence,did not support,significant causal association
evidence,did not support,significant causal association of AVS
evidence,did not support,significant causal association of AVS on kidney function
evidence,resulted in,significant uncertainty
exacerbation,is due to,interaction
examination,focused on,variables that could influence their metabolic profile
examinations,indicated that,treatment caused amelioration of lipid accumulation
examinations,indicated,treatment caused amelioration of lipid accumulation
examinations,focused on,variables
examining this effect,might provide,valuable insights for targeted cardiovascular treatments
excess accumulation of iron,indicated by,serum ferritin levels
excess accumulation of iron indicated by serum ferritin levels,could have,significant impact on the pathophysiology of T2DM
excessive insulin therapy,is associated with,increased risk of cardiovascular disease
excessive insulin therapy,is associated with,increased risk of disease
excessive insulin therapy,increases,risk of cardiovascular disease
excessive insulin therapy,may increase,risk of cardiovascular disease
excessive insulin therapy,is associated with,risk of cardiovascular disease
excessive nutrient absorption,contributes to,insulin resistance
excessive nutrient absorption,is a cause of,insulin resistance
exclusion,was done to,reduce heterogeneity and pleiotropy
exclusion,was done to,reduce heterogeneity and the effect of pleiotropy
exclusion,was done to,reduce pleiotropy
exclusion,was done because,variants were outliers
exenatide-mediated improvement,associated with,decrease in inflammatory cytokine levels
exercise,has an impact on,cognitive function
exercise,positively impacts,glucose regulation
exercise,impacts,glucose regulation
exercise,has an impact on,impact
exercise,was used to improve,metabolic diabetes markers
exercise,plays a significant role in influencing,muscle metabolism
exercise,positively impacts,myokine modulation
exercise,impacts,myokine modulation
exercise,plays a significant role in influencing,secretion of myokines
exercise,has implications for managing,type 2 diabetes mellitus
exercise adherence,is influenced by,low exercise
exercise interventions,may be influenced by,baseline blood glucose levels
exercise interventions,may be influenced by,exercise intensity
exercise modalities,influence,metabolic profiles
exercise or vitamin D intervention,can reduce,risk of arterial stiffness
exercise programs,could result in,better results
exercise training,impact on,brain function
exercise training,impact on,brain structure
exercise training,impact of,cognition
exercise training,had a positive impact on,rats with Type 2 diabetes mellitus
exercise training,impact of,these aspects
exercises,caused,delay in sensorimotor function alterations
existence of a causal association,between,severe autoimmune type 2 diabetes and focal epilepsy
existence of a causal relation,is a causal relation between,Crohn's disease and ulcerative colitis
existence of a causal relation,between,elevated glucose and Inflammatory bowel disease
existence of correlations,does not necessarily prove,causal association
expansion of diabetes nurse specialists knowledge,can contribute to,managing diabetes mellitus and its complications
expansion of the role of diabetes nurse specialists,can contribute to,managing diabetes mellitus and its complications
experimental group,had,impact score of 2.09
experiments,were conducted to,cause damage
exploration,was to find,association
explore the impact of LRa05 with hypoglycemic medications,is the aim,to
exposure factors,have causal relationships with,rotator cuff syndrome
Exposure to Mycobacterium tuberculosis,was associated with,increased risk for Type 2 diabetes mellitus
exposures,have causal associations with,outcomes
exposures,causal associations of,outcomes
exposures and outcomes,were analyzed using,MR analysis
expression levels of HSP27,were reduced,heart failure with preserved ejection fraction dysfunction
expression levels of HSP70,were reduced,heart failure with preserved ejection fraction dysfunction
expression of factors associated with the xCT/GPX4 pathway,was enhanced by,Plantamajoside
expression of ferroptosis markers,caused by,glycolipid toxicity
expression of miR-497-5p,induces,apoptosis in lung cancer cells
expression of miR-497-5p,targets,CCND2
expression of miR-497-5p,inhibits,cell proliferation
expression of SAT PTEN,was positively associated with,HOMA-B cell dysfunction
expression of SAT PTEN,was negatively associated with,Insulin resistance
expression of the markers,caused by,glycolipid toxicity
expression of tripartite motif-containing protein 32,is promoted in,high-fat diet-induced obesity mice
extensive epidemiological data,because there is,molecular mechanisms
Extrachromosomal circular DNAs,presence and impact of,a condition
Extrachromosomal circular DNAs,presence and impact of,a disease
Extrachromosomal circular DNAs,impact of,type 2 diabetes mellitus
Extract,all meaningful,entities
extract,all meaningful,entities
extract,include,"nouns, noun phrases, proper nouns, concepts"
extract of Phyllanthus emblica L.,caused,amelioration of lipid accumulation
extract of Phyllanthus emblica L.,corrected,lipid accumulation
extract of Phyllanthus emblica L. treatment,led to improved,systemic insulin resistance
extract of Phyllanthus emblica L. treatment,decreased,visceral fat amounts
extracts,resulted in,reductions in blood glucose levels
extracts,resulted in,reductions in body weight gain
extracts,resulted in,reductions in low-density lipoprotein
extracts,resulted in,reductions in total cholesterol
factor,leads to,pathogenesis of Type 2 diabetes mellitus arterial remodeling
factor,leads to,vascular SMC alterations
factor (FG Fasting Insulin FI),were associated with,PUs
factors,associated with,both therapeutic modalities
factors,exist,highly
factors,are highly associated with,liver cancer incidence
factors,highly associated with,liver cancer incidence
factors,associated with,liver cancer incidence
factors,influence,MDI
factors,were associated with,migraine
factors,are between,MS
factors,influencing,outcomes
factors,associated with,prevalence of dyslipidemia
factors,influenced,risk factor control
Factors,influenced,risk factor control
factors,do not directly impact,sd LDL levels
factors associated with the prevalence of dyslipidemia,were identified by,logistic regression
factors associated with the xCT/GPX4 pathway,expression of,Plantamajoside
factors associated with weight loss,are the cause of,differences in our results
factors associated with weight loss,make it difficult to,draw definitive conclusions
factors associated with weight loss,are the cause of,variations in the study populations
FADS1 rs174556 polymorphism,influences,dietary fats metabolism
FADS1 rs174556 polymorphism,influences,type 2 diabetes (T2DM)
Family history of T2DM,was comparable between,both genders
Family Verrucomicroniaceae,was associated with,T2DN
fasting blood,influence is on,insulin
fasting blood glucose,influence on,adulthood
fasting blood glucose,impact of,association between HDL-C and BMD
fasting blood glucose,influence on,F1 offspring of zebrafish with maternal T2DM
fasting blood glucose,impact of,relationship between HDL-C and BMD
fasting C-peptide,in combination with,insulin resistance
fasting C-peptide,of,predictive impact
fasting C-peptide in combination with insulin resistance,proves to have,substantial predictive impact on hepatic fibrosis
Fasting Glucose,was associated with,increased risk of PUs
fasting glucose,influenced by,influence
fasting glucose,does not directly impact,sd LDL levels
fasting insulin,causal association between,Endometrial carcinoma risk
Fasting insulin,is associated with,Endometrial carcinoma risk
fasting plasma glucose,was associated with,glycosylated hemoglobin (HbA1c)
fasting plasma glucose,was between,glycosylated hemoglobin (HbA1c)
fasting plasma glucose,had causal association,glycosylated hemoglobin (HbA1c)
fasting plasma glucose,causal association was between,glycosylated hemoglobin (HbA1c)
Fasting-mimicking diets,demonstrate,the greatest impact
fat fraction,is associated with,deteriorating insulin sensitivity
fat fraction,is associated with,loss of glucose control
fat mass,decreased significantly,lipolysis
fat mass,decreased significantly as a result of,lipolysis
fat mass,decreased,significantly
fat mass decrease,due to,DCA supplementation
fats,is related to,glucose and insulin homeostasis
fats,is related to,night work
fatty acids,found in,patients with obesity
FBs,are positively associated with,serum ferritin
female,describes,mice
female patients,due to,autism spectrum disorder
female patients,because of,autism spectrum disorder
female patients,due to,type 2 diabetes mellitus
female patients,because of,type 2 diabetes mellitus
ferritin level,had a causal effect on,decreased eGFRcrea level
ferritin level,had a causal effect on,eGFRcrea level
ferritin level,increased,risk of T1DM with renal complications
ferroptosis markers,were caused by,glycolipid toxicity
FG Fasting Insulin FI,associated with,PUs
fiber formation,influenced by,multiple pathways
fibromyalgia,involves,neuroinflammation
fibrosis,are associated with,diabetic heart
fibrosis,are associated with,inflammation
Ficus lindsayana latex extract,significantly improved,glucose uptake
final model,was evaluated on,test set
financial instability,results in,housing instability
finding,underscores,importance of T2DM prevention
finding,underscores,importance of T2DM prevention as a strategy to reduce the risk of PaCa
findings,require,additional confirmation
Findings,should be interpreted as,associative rather than causal
findings,should be interpreted as,associative rather than causal
findings,provided evidence for,"causal association between HTN, T2DM and COPD"
findings,provides,causal inference
findings,were due to,clinical and methodological heterogeneity
findings,led to,conclusion about the animals in the high-fat diet group
findings,suggest,genetically supported causal relationship between diabetes mellitus and glycemic traits
findings,contribute to,knowledge of the underlying mechanisms
findings,contribute to,knowledge of underlying mechanisms
findings,were associated with,odds ratios
findings,contribute to,our
findings,were partly due to,reliance on conventional time-to-first-event analysis
findings,were used to,suspect an insulin autoimmune syndrome (IAS)
findings,provide,tripartite framework
findings from this study,would influence,drug selection and adjustment in clinical practice
finger stick tests,contribute to,clinical inertia
first acupuncture intervention,led to,significant reduction in body weight gain
first-line treatment,is preferred,due to its low cost
first-line treatment,is preferred due to,its safety
first-phase insulin secretion,is associated with,BAG3
first-phase insulin secretion,is associated with,humans
first-phase insulin secretion in humans,is influenced by,BAG3
five insulin resistance-related indices,four parameters exhibited,high predictive performance for identifying NAFLD
fluctuations,lead to,AD
fluctuations,influence,neurodegeneration
fluctuations in blood glucose measurements,contribute to,clinical inertia
fluctuations in glucose metabolism,lead to,onset of Alzheimer's disease
fluctuations in glucose metabolism,cause,onset of Alzheimer's disease
fluctuations in glucose metabolism,are associated with,onset of Alzheimer's disease
fluctuations in glucose metabolism,are a cause of,the disease process
focal epilepsy,causes,severe autoimmune type 2 diabetes
focused nutritional interventions,may lead to,biomarker development
food-order intervention,resulted in,significant reduction in postprandial blood glucose
foods,are the components of,Portfolio Diet
form,triples,Entity 1 -> Relationship -> Entity 2
Form,capture,triples
form of supplementation,causes,inconsistency in results
form triples,contain,"Entity 1, Relationship, Entity 2"
former's absence,causes to rise,plasma glucose
former's absence,causes,plasma glucose rise
former's absence,causes,plasma glucose to rise threefold to around 12 mmol/l
formula,had,anti-steatotic impact
formula,caused,cells to be protected
formula,upregulating,"GSIS, PDX1, MafA mRNA expression"
formula,could also ameliorate,"lipid disturbance of TG, DG, PC, PE"
formula,influenced,lipid synthesis-related proteins
formula's anti-steatotic impact,was observed through,liver lipidomic alterations
forward analyses,no causal relationship was found in,T2DM
forward MR analysis,identified,genus RuminococcaceaeUCG010
Fos Biomedical non-transdermal patch system,has an impact on,cardio-metabolic health
Fos Biomedical non-transdermal patch system,through,Photo-biomodulation effects
Fos Biomedical non-transdermal patch system,has an impact on,sleep quality
Fos Biomedical non-transdermal patch system,impact of,unclear
Fos Biomedical non-transdermal patch system (NTPS),on,cardio-metabolic risk
Fos Biomedical non-transdermal patch system (NTPS),compared with,placebo
Fos Biomedical non-transdermal patch system (NTPS),on,sleep quality
Fpassive,led to,Heart failure with preserved ejection fraction improvements in cardiomyocyte mechanical properties
frailty,is associated with,accumulation of health deficits
framework,combined,burden projection
framework,combined,causal inference
framework,provides,causal inference
framework,harmonizes,"causal inference, individualized risk prediction, and global burden mapping for migraine prevention"
framework,was used to,evaluate modifiable factors associated with migraine
framework,combined,predictive modeling
Framingham Risk Score,has promise as,predictive biomarker for cardiovascular disease
FreeStyle Libre glucose monitoring system,on,diabetes management intensification
FreeStyle Libre glucose monitoring system,is evaluated on,diabetes management intensification
FreeStyle Libre glucose monitoring system,on,treatment progression
FreeStyle Libre glucose monitoring system,to evaluate the impact of,treatment progression among diabetes management
frequency of alcohol intake,is associated with,Endometrial carcinoma risk
frequency of Insulin administration,have been shown to influence,bone-related outcomes
full adjustment,had,P for trend < 0.001
fully adjusted regression analyses,significantly increased the risk of,elevated AHI
function-on-scalar regression,used to assess,association between type 2 diabetes mellitus and hemodynamic responses to orthostasis
function-on-scalar regression,was used to assess,association between type 2 diabetes mellitus and hemodynamic responses to orthostasis
function-on-scalar regression,used to model,entire hemodynamic response curve
function-on-scalar regression,allows,entire hemodynamic response curve to be modeled
fundamental deficiency in glucose sensing,is caused by,GCK-MODY
further investigation,is needed to establish,causal relationships
further investigation,is required to establish,causal relationships
further investigation in larger-scale GWASs on subgroups of abnormal spermatozoa,will verify,impacts of metabolic factors on spermatogenesis
GA HbA1c/GA,influenced by,gestational age
GA HbA1c/GA,influenced by,pregestational body mass index
galectin-3,could neither predict,beta-cell function
galectin-3,could neither predict,insulin resistance
Gallic acid,play a potential role in inhibiting,glucose levels
gallic acid,might play,potential role in inhibiting glucose levels
gangrene,is a condition caused by,diabetes
gastric bypass,impact on,blood sugar regulation
gastric bypass,look for potential causes of,blood sugar regulation
gender,adjusting for,having a less negative attitude toward insulin treatment
gender,difference in,patients with T2DM
gene expression,associated with,antioxidant activity
gene expression,associated with,insulin signaling pathway
gene expression,associated with,β-cell function
gene expression of interleukin-1-alpha (IL-1α),had a negative causal association with,transforming growth factor-alpha (TGF-α)
gene mapping,led to the identification of,numerous pleiotropic genes
general obesity,association between,cardiovascular disease all-cause mortality
general obesity,has negative impact on,cardiovascular disease all-cause mortality
general obesity,has a negative impact on,cardiovascular disease all-cause mortality among the general population
general obesity,is observed among,general population
general obesity,shows,unfavorable association with cardiovascular disease all-cause mortality
generalization of the results,may be limited,source population
generalized additive model (GAM),was applied,curve fitting
generation of reactive oxygen species (ROS),has significant impact on,pathophysiology of T2DM
generation of reactive oxygen species (ROS),has a significant impact on,pathophysiology of T2DM
genes,were identified in,analysis
genes,are associated with,both diseases
genes,are associated with,comorbidities
genes,influenced by,metformin
genes,show causal links with,T2DM
genes carried by Extrachromosomal circular DNAs,were mainly associated with,insulin resistance
genetic background,influenced,muscular adaptations
genetic confounding,possibility of,examined
genetic evidence,indicating that,rheumatoid arthritis potentially causes an increased risk of developing Alzheimer's disease and PD
genetic factors,is the cause of,aetiology of T2DM
genetic factors,are the cause of,aetiology of T2DM
genetic factors,contribute to,DM susceptibility
genetic factors,convergence of,environmental factors
genetic factors,contribute to,TB susceptibility
genetic factors and lifestyle choices,influenced by,developing chronic kidney disease CKD
genetic liability to Type 2 diabetes mellitus,plays causal roles in,coronary artery disease myocardial infarction stroke
genetic mimicry of apolipoprotein B (APOB) enhancement,was associated with,lower NTG risks
genetic modification,did not adversely impact,characteristics of sEVs
genetic predisposition to severe autoimmune T2DM,was associated with,increased risk of focal epilepsy
genetic predisposition to type 2 diabetes mellitus,causal relationship between,aortic dissection
genetic predisposition to type 2 diabetes mellitus,causal relationship with,aortic dissection
genetic predisposition to Type 2 diabetes mellitus,has causal associations with,increased risk of coronary artery disease
genetic susceptibility to glucocorticoid use,was associated with,increased risk of developing senile cataracts
genetic susceptibility to type 2 diabetes mellitus,was associated with,increased risk of developing pancreatic cancer
genetic susceptivity,include,causes
Genetic variants,associated with,Appendicular lean mass
genetic variants,influence,dapagliflozin
genetic variants,influence,dapagliflozin's effects
genetic variants,influence,dapagliflozin's glucose-lowering effects
Genetic variants,obtained from,genome-wide association studies (GWAS)
genetic variants,influence,glucose-lowering effects
genetic variants,influence,glucose-lowering effects of dapagliflozin
Genetic variants,associated with,HDL-C
Genetic variants,utilized as,instrumental variables (IVs)
Genetic variants,obtained from,large genome-wide association study (GWAS)
genetic variants,associated with,lipid traits
genetic variants,may contribute to,metabolic risk
genetic variants,contribute to,metabolic risk
Genetic variants,associated with,T2DM
Genetic variants in the IDE gene,change,enzyme function
genetic variants in the IDE gene,influence,the enzyme function
genetically anticipated biological linkage,is associated with,circulating metabolites
genetically anticipated biological linkage,is associated with,SGLT2
genetically assessed high-density cholesterol (HDL),was negatively associated with,NTG risk
